"Timestamp","Sexo","Edad","País","Ocupación","Orientación Sexual","¿Eres segura/seguro de ti mismo?","¿Te sientes segura/seguro estando sola/solo? ","¿Dependes de otras personas para animarte a realizar nuevas actividades?","¿Necesitas saber que hay gente que respalda tu opinión para poder expresarla?","¿Temes por ""terminar solo""? ","De las siguientes características, ¿con cuáles te identificas? ","Te aburres fácilmente.","Te consideras una persona celosa.","Te consideras una persona emocionalmente inestable.","Te consideras una persona ansiosa.","Eres buena/bueno mintiendo","Te gusta sentirte deseada / deseado."," ¿Qué tanto estás dispuesto a soportar maltrato físico o psicológico con tal de que una persona se quede a tu lado?","Cuando estás en una relación, ¿Qué tan a menudo sientes de forma espontánea que la relación va a acabar?","¿Actualmente tienes pareja?","¿Alguna vez has regresado con una ex pareja?","¿Qué le dirías a tu ex pareja si la vieras de nuevo?","¿Cómo sería tu pareja ideal?","¿Alguna vez has sido infiel?","¿Por qué fuiste infiel?","¿Alguna vez te han sido infiel?","Antes de haber sido infiel, ¿a ti te fueron infiel?","¿Has perdonado alguna infidelidad?","¿Te han perdonado alguna infidelidad?","¿Crees en la monogámia?","¿Cuántas parejas has tenido en toda tu vida?","¿Cuáles fueron las principales razónes por las que fuiste infiel?","En promedio, ¿Cuánto dinero le dedicas/dedicabas a tu pareja al mes? ","En promedio, ¿Cuántas horas a la semana pasas/pasabas con tu pareja?","¿Cuánto ha durado tu relación más larga?","¿Consideras que tu pareja te satisface/satisfizo en todos los ámbitos?","¿Tienes relaciones sexuales con personas que no conoces frecuentemente?","Tu pareja te amenaza con dejarte porque no quieres mantener relaciones sexuales con ella/él, tú...","¿Consideras la posibilidad de tener hijos?","¿Por qué te gustaría/no te gustaría tener hijos?","¿Cuántos hijos tienes/te gustaría tener?"
"2021/06/15 2:46:13 am GMT-5","Femenino","21","México","Estudiante","Heterosexual","No","Sí","No","No","No","Baja autoestima.;Estado de ánimo disfórico.;Lugar prioritario de la relación.;Autoanulación.;Necesidad de agradar.;Deseos de exclusividad.","2","4","4","5","2","5","3","4","No","Sí","Nada ","Honesto, fiel, cariñoso, sincero, optimista, social, atractivo, con muchas metas ","No","No he sido infiel.","Sí","Me han sido infiel y depués de ello yo NO he sido infiel.","No","No he sido infiel.","Sí","4","No he sido infiel.","800","8","2 años","No","No","Te niegas y la/lo dejas.","Tal vez","","2"
"2021/06/15 3:17:55 am GMT-5","Masculino","22","Mexico","Programador","Heterosexual","Sí","Sí","No","No","No","Déficit de habilidades sociales","1","2","1","3","5","2","1","1","No","Sí","Que me gustaría empezar de nuevo","Similar en temperamento. Asertiva y creativa","No","No he sido infiel.","No","No he sido infiel.","No me han sido infiel.","No he sido infiel.","Sí","2","No he sido infiel.","2000","20","7 meses","No","Sí","Aceptas pero sabes que gradualmente eso te desgastará y terminarás dejandola/dejandolo.","Sí","Me gusta la idea de tener una familia","3"
"2021/06/15 3:30:24 am GMT-5","Masculino","19","México ","Estudiante","Heterosexual","Sí","Sí","No","No","No","Deseos de exclusividad.","5","2","1","1","5","5","1","1","No","No","Aloha! Espero que estés muy bien y te vaya increíble ","Inteligente, divertida, extrovertida, valiente, alegre, paciente, responsable, gran sentido del humor ","No","No he sido infiel.","Sí","Me han sido infiel y depués de ello yo NO he sido infiel.","No","No he sido infiel.","Sí","4","No he sido infiel.","1200","35 hrs","1 año 6 meses ","Sí","No","Te niegas y la/lo dejas.","Tal vez","En dado caso de que tenga una economía y familia estable que me permita darles una gran calidad de vida y haya concluido con mis metas a tiempo, la idea de tener hijos no molesta. ","2"
"2021/06/15 4:49:35 am GMT-5","Masculino","21","Medico ","Trabajador","Heterosexual","No","No","Sí","No","Sí","Miedo a la soledad.;Necesidad de agradar.;Deseos de exclusividad.","3","5","3","4","5","5","2","3","Sí","Sí","Suerte en todo","Con la que estoy actualmente ","Sí","Despecho","Sí","Sí","Sí","No","No","3","Despecho","2000","35","10 meses","Sí","No","Te niegas y la/lo dejas.","Sí","Educar a alguien de bien","2"
"2021/06/15 8:12:45 am GMT-5","Femenino","23","México ","Empleado ","Heterosexual","No","Sí","No","Sí","Sí","Baja autoestima.","4","3","3","5","5","5","1","2","No","No","Ojalá te esté yendo bien ",". ","Sí","Era muy pequeña de edad ","Sí","No","Sí","Sí","Sí","4","Me aburría ",". ","12","1año 6 meses ","Sí","No","Te niegas y la/lo dejas.","Sí","Me gustaría experimentar la sensación de ser mamá ","2"
"2021/06/15 9:07:30 am GMT-5","Masculino","20","México","Estudiante","Heterosexual","Sí","Sí","No","No","No","Necesidad de agradar.","3","2","2","3","4","5","1","2","No","No","Hola, ¿cómo estás?","Que me apoye en mis proyectos y que me complemente mentalmente","No","No he sido infiel.","No","No he sido infiel.","No me han sido infiel.","No he sido infiel.","Sí","3","No he sido infiel.","1000","5","9 meses","No","No","Te niegas y la/lo dejas.","Tal vez","Desconocimiento de la escacez de recursos naturales en un futuro","1"
"2021/06/15 10:13:58 am GMT-5","Masculino","19","México","Estudiante","Heterosexual","Sí","Sí","No","No","Sí","Miedo a la soledad.","4","2","1","1","4","5","1","1","Sí","Sí","Otro día hablamos (nada más para esquivarla) ","Mi actual pareja ","No","No he sido infiel.","Sí","Me han sido infiel y depués de ello yo NO he sido infiel.","Sí","No he sido infiel.","Sí","9","No he sido infiel.","1000","14","1 año y 8 meses. (Contando porque es la actual)","Sí","No","Te niegas y la/lo dejas.","Sí","Me gustaría poder brindarle a un niño lo que no me pudieron brindar mis padres a mi. ","1"
"2021/06/15 11:29:38 am GMT-5","Femenino","18","Mexico ","Estudiante","Bisexual","Sí","Sí","Sí","No","No","Necesidad de agradar.;Deseos de exclusividad.","3","3","1","5","5","5","5","5","Sí","No","Chinga tu madre 😞👍🏼","Alguien que siempre me procure ","Sí","Por desmadre ","Sí","Sí","Sí","Sí","No","5","No he sido infiel.","2000","9","3 años ","Sí","Sí","Te niegas y la/lo dejas.","Sí","Porque me gustaría demostrarle q alguien los valores correctos ","1"
"2021/06/15 11:34:36 am GMT-5","Femenino","20","México ","Estudiante","Heterosexual","No","No","Sí","No","Sí","Miedo a la soledad.;Déficit de habilidades sociales","4","2","2","2","4","4","1","5","No","Sí","Gracias por todo ","Creo qué tal cual no hay una pareja ideal, sin embargo lo único que me gustaría que tuviera es que sea amoroso y respetuoso.","Sí","Me deje llevar por cosas tontas.","Sí","No","No","No","Sí","15","Dejarme persuadir por mi pasado.","$0","8","4 meses","No","No","Te niegas y la/lo dejas.","Sí","Es complicado plasmar esta idea debido a mi religión. ","2-4"
"2021/06/15 11:43:31 am GMT-5","Masculino","21","México ","Estudiante","Heterosexual","Sí","Sí","Sí","Sí","Sí","Necesidad de acceso continuo al compañero.;Deseos de exclusividad.","4","3","2","4","4","5","2","2","No","Sí","Que me perdone","Como ella","No","No he sido infiel.","Sí","Me han sido infiel y depués de ello yo NO he sido infiel.","No","No he sido infiel.","Sí","4","No he sido infiel.","1000","8","1 año y dos meses","Sí","No","","Sí","Para enseñarles todo lo que he aprendido ","2"
